Year,State,sumInsured,premiumRate,farmerShare,farmerShareValue,stateShare,stateShareValue,goiShare,goiShareValue,indemnityLevel,seasonCode,isPreviousSeasonYearInSubsidy,firstGoiSubsidy,categoryName,cropTypeCode,startDate,endDate,insuranceCompanyName
2018,Goa,47500.0,4.23,1.5,712.5,1.365,648.375,1.365,648.375,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,HDFC ERGO GENERAL INSURANCE CO. LTD.
2018,Chhattisgarh,17000.0,10.0,1.5,255.0,4.25,722.5,4.25,722.5,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Goa,37500.0,4.91,1.5,562.5,1.705,639.375,1.705,639.375,80,2,False,True,Pulses,1,2018-01-01,2030-11-24 13:45:49,HDFC ERGO GENERAL INSURANCE CO. LTD.
2018,Chhattisgarh,10000.0,13.0,1.5,150.0,5.75,575.0,5.75,575.0,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2022,HARYANA,89903.0,17.1488,5.0,4495.15,6.074400000000002,5461.06783,6.0744,5461.06783,90,1,True,True,Fiber Crops,2,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2018,Haryana,36000.0,7.13,2.0,720.0,2.565,923.4,2.565,923.4,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2021,Goa,37500.0,12.0,2.0,750.0,5.0,1875.0,5.0,1875.0,80,1,True,False,Pulses,1,2020-07-06,2030-11-24 13:45:49,FUTURE GENERALI INDIA INSURANCE CO. LTD.
2022,ANDHRA PRADESH,95000.0,11.0,2.0,1900.0,4.5,4275.0,4.5,4275.0,70,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,ANDHRA PRADESH,100000.0,9.0,2.0,2000.0,3.5,3500.0,3.5,3500.0,70,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,HDFC ERGO GENERAL INSURANCE CO. LTD.
2022,ANDAMAN & NICOBAR ISLANDS,69506.0,9.0,0.5,347.53,5.0,3475.3,3.5,2432.71,80,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,NATIONAL INSURANCE COMPANY LIMITED
2022,ANDHRA PRADESH,112500.0,15.5,2.0,2250.0,6.75,7593.75,6.75,7593.75,70,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,IFFCO TOKIO GENERAL INSURANCE CO. LTD.
2020,MADHYA PRADESH,42000.0,11.0,1.5,630.0,4.75,1995.0,4.75,1995.0,80,2,False,False,Cereals,1,2020-09-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,ANDHRA PRADESH,90000.0,8.0,2.0,1800.0,3.0,2700.0,3.0,2700.0,70,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,HDFC ERGO GENERAL INSURANCE CO. LTD.
2022,ANDHRA PRADESH,42500.0,21.5,2.0,850.0,9.75,4143.75,9.75,4143.75,70,1,True,True,Pulses,1,2022-04-01,2030-11-24 13:45:49,IFFCO TOKIO GENERAL INSURANCE CO. LTD.
2018,Haryana,73500.0,2.8902,2.0,1470.0,0.4451,327.1485,0.4451,327.1485,90,1,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2018,Haryana,36000.0,5.9148,2.0,720.0,1.9574,704.664,1.9574,704.664,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2018,Chhattisgarh,30000.0,4.0,1.5,450.0,1.25,375.0,1.25,375.0,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Haryana,41500.0,5.73,2.0,830.0,1.865,773.975,1.865,773.975,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2022,HARYANA,89903.0,14.0,5.0,4495.15,4.5,4045.635,4.5,4045.635,90,1,True,True,Fiber Crops,2,2022-04-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2019,Haryana,38300.0,6.56,0.0,0.0,4.279999999999999,1639.24,2.28,873.24,90,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,SBI GENERAL INSURANCE
2018,Chhattisgarh,17000.0,5.0,1.5,255.0,1.75,297.5,1.75,297.5,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2022,CHHATTISGARH,42000.0,7.11,2.0,840.0,2.555,1073.1,2.555,1073.1,90,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2018,Assam,100500.0,5.0,5.0,5025.0,0.0,0.0,0.0,0.0,90,2,False,True,Sugar and Starch Crops,2,2018-01-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,ANDHRA PRADESH,87500.0,21.0,2.0,1750.0,9.5,8312.5,9.5,8312.5,70,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,HARYANA,40750.0,26.5,2.0,815.0,13.0,5297.5,11.5,4686.25,90,1,True,True,Pulses,1,2022-04-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2019,Goa,37500.0,12.0,2.0,750.0,5.0,1875.0,5.0,1875.0,80,1,False,True,Pulses,1,2018-01-01,2030-11-24 13:45:49,FUTURE GENERALI INDIA INSURANCE CO. LTD.
2022,CHHATTISGARH,33300.0,14.0,2.0,666.0,6.0,1998.0,6.0,1998.0,80,1,True,True,Pulses,1,2022-04-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2022,CHHATTISGARH,46200.0,18.0,2.0,924.0,8.0,3696.0,8.0,3696.0,80,1,True,True,Oilseeds,1,2022-04-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2022,MADHYA PRADESH,21000.0,4.0,2.0,420.0,1.0,210.0,1.0,210.0,80,1,True,True,Pulses,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2019,Gujarat,62000.0,10.0,5.0,3100.0,2.5,1550.0,2.5,1550.0,70,1,False,True,Fiber Crops,2,2018-01-01,2030-11-24 13:45:49,RELIANCE GENERAL INSURANCE CO. LTD.
2019,Gujarat,25000.0,9.0,2.0,500.0,3.5,875.0,3.5,875.0,70,1,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,RELIANCE GENERAL INSURANCE CO. LTD.
2019,Chhattisgarh,25000.0,11.0,1.5,375.0,4.75,1187.5,4.75,1187.5,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2019,Chhattisgarh,27000.0,15.0,1.5,405.0,6.75,1822.5,6.75,1822.5,90,2,False,True,Pulses,1,2018-01-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2020,GOA,37500.0,2.0,1.5,562.5,0.25,93.75,0.25,93.75,80,2,False,False,Pulses,1,2020-09-01,2030-11-24 13:45:49,FUTURE GENERALI INDIA INSURANCE CO. LTD.
2019,Madhya Pradesh,24000.0,8.04,1.5,360.0,3.27,784.8,3.27,784.8,80,2,False,True,Pulses,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2019,Madhya Pradesh,13440.0,25.0,1.5,201.6,11.75,1579.2,11.75,1579.2,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2019,Madhya Pradesh,14962.5,10.0,1.5,224.4375,4.25,635.9063,4.25,635.9063,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2019,Madhya Pradesh,23250.0,1.47,1.47,341.775,0.0,0.0,0.0,0.0,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2019,Madhya Pradesh,12750.0,15.87,1.5,191.25,7.185,916.0875,7.185,916.0875,80,2,False,True,Pulses,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2021,Chhattisgarh,32000.0,24.0,2.0,640.0,11.0,3520.0,11.0,3520.0,80,1,True,False,Cereals,1,2020-06-16,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Chhattisgarh,15000.0,12.0,1.5,225.0,5.25,787.5,5.25,787.5,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Assam,59740.0,4.22,2.0,1194.8,1.11,663.114,1.11,663.114,80,1,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,ORIENTAL INSURANCE
2018,Chhattisgarh,20000.0,9.0,1.5,300.0,3.75,750.0,3.75,750.0,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2019,Gujarat,45000.0,9.5,5.0,2250.0,2.25,1012.5,2.25,1012.5,80,2,False,True,Condiments and Spices,2,2018-01-01,2030-11-24 13:45:49,BHARTI AXA GENERAL INSURANCE COMPANY LTD.
2019,Gujarat,25000.0,4.0,2.0,500.0,1.0,250.0,1.0,250.0,70,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,RELIANCE GENERAL INSURANCE CO. LTD.
2019,Gujarat,55000.0,1.52,1.5,825.0,0.01,5.5,0.01,5.5,70,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,BHARTI AXA GENERAL INSURANCE COMPANY LTD.
2019,Gujarat,45000.0,39.5,1.5,675.0,19.0,8550.0,19.0,8550.0,70,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,BHARTI AXA GENERAL INSURANCE COMPANY LTD.
2018,Andhra Pradesh,25000.0,10.0,1.5,375.0,4.25,1062.5,4.25,1062.5,90,2,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2019,Gujarat,71000.0,1.52,1.5,1065.0,0.01,7.1,0.01,7.1,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,BHARTI AXA GENERAL INSURANCE COMPANY LTD.
2019,Gujarat,27000.0,5.17,2.0,540.0,1.585,427.95,1.585,427.95,80,1,False,True,Pulses,1,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2019,Gujarat,30000.0,1.52,1.5,450.0,0.01,3.0,0.01,3.0,80,2,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,BHARTI AXA GENERAL INSURANCE COMPANY LTD.
2019,Gujarat,80000.0,4.0,4.0,3200.0,0.0,0.0,0.0,0.0,80,1,False,True,Fiber Crops,2,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2019,Gujarat,50000.0,10.0,2.0,1000.0,4.0,2000.0,4.0,2000.0,70,1,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2019,Gujarat,25000.0,2.68,2.0,500.0,0.34,85.0,0.34,85.0,70,1,False,True,Millets,1,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2018,Assam,100500.0,8.0,5.0,5025.0,1.5,1507.5,1.5,1507.5,90,2,False,True,Sugar and Starch Crops,2,2018-01-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2018,Chhattisgarh,15000.0,10.0,1.5,225.0,4.25,637.5,4.25,637.5,80,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2018,Haryana,40500.0,14.12,1.5,607.5,6.31,2555.55,6.31,2555.55,90,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,UNIVERSAL SOMPO GENERAL INSURANCE COMPANY
2022,ANDHRA PRADESH,75000.0,2.73,2.0,1500.0,0.365,273.75,0.365,273.75,70,1,True,True,Millets,1,2022-04-01,2030-11-24 13:45:49,SBI GENERAL INSURANCE
2020,Chhattisgarh,16000.0,24.4,2.0,320.0,11.2,1792.0,11.2,1792.0,80,1,False,True,Pulses,1,2020-06-16,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,ANDAMAN & NICOBAR ISLANDS,65676.0,8.0,0.5,328.38,4.5,2955.42,3.0,1970.28,80,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,NATIONAL INSURANCE COMPANY LIMITED
2020,Chhattisgarh,33000.0,18.36,2.0,660.0,8.18,2699.4,8.18,2699.4,80,1,False,True,Millets,1,2020-06-16,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,ANDHRA PRADESH,62500.0,14.0,2.0,1250.0,6.0,3750.0,6.0,3750.0,70,1,True,True,Oilseeds,1,2022-04-01,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2020,Madhya Pradesh,35000.0,25.0,2.0,700.0,11.5,4025.0,11.5,4025.0,80,1,False,True,Cereals,1,2020-07-06,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2021,Chhattisgarh,32000.0,21.37,2.0,640.0,9.685,3099.2,9.685,3099.2,80,1,True,False,Cereals,1,2020-06-16,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2018,Assam,59740.0,3.2,2.0,1194.8,0.6,358.44,0.6,358.44,80,1,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,NATIONAL INSURANCE COMPANY LIMITED
2018,Haryana,40500.0,7.6172,1.5,607.5,3.0586,1238.733,3.0586,1238.733,90,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,SBI GENERAL INSURANCE
2021,Haryana,33730.0,19.0,1.5,505.95,8.75,2951.375,8.75,2951.375,90,2,True,True,Pulses,1,2021-09-02,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2021,Haryana,44108.0,12.0,1.5,661.62,5.25,2315.67,5.25,2315.67,90,2,True,True,Cereals,1,2021-09-02,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2021,Haryana,45406.0,10.0,1.5,681.09,4.25,1929.755,4.25,1929.755,90,2,True,True,Oilseeds,1,2021-09-02,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2021,Haryana,44108.0,11.0,2.0,882.16,4.5,1984.86,4.5,1984.86,90,1,True,True,Millets,1,2020-07-06,2030-11-24 13:45:49,RELIANCE GENERAL INSURANCE CO. LTD.
2018,Haryana,66500.0,4.4962,1.5,997.5,1.4981,996.2365,1.4981,996.2365,90,2,False,True,Cereals,1,2018-01-01,2030-11-24 13:45:49,SBI GENERAL INSURANCE
2018,Chhattisgarh,11200.0,20.0,1.5,168.0,9.25,1036.0,9.25,1036.0,80,2,False,True,Oilseeds,1,2018-01-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2021,Assam,112256.0,2.0,2.0,2245.12,0.0,0.0,0.0,0.0,90,2,True,False,Sugar and Starch Crops,2,2021-09-02,2030-11-24 13:45:49,RELIANCE GENERAL INSURANCE CO. LTD.
2020,Madhya Pradesh,22000.0,19.0,2.0,440.0,8.5,1870.0,8.5,1870.0,80,1,False,True,Pulses,1,2020-07-06,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2018,Assam,56630.0,28.33,5.0,2831.5,11.665,6605.8895,11.665,6605.8895,80,1,False,True,Fiber Crops,2,2018-01-01,2030-11-24 13:45:49,HDFC ERGO GENERAL INSURANCE CO. LTD.
2021,Assam,69500.0,4.2,1.5,1042.5,0.27,187.65,2.43,1688.85,80,2,True,False,Cereals,1,2021-09-02,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2020,Madhya Pradesh,27000.0,12.0,2.0,540.0,5.0,1350.0,5.0,1350.0,80,1,False,True,Oilseeds,1,2020-07-06,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2020,Madhya Pradesh,22000.0,25.0,2.0,440.0,11.5,2530.0,11.5,2530.0,80,1,False,True,Cereals,1,2020-07-06,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2020,Madhya Pradesh,18000.0,17.0,2.0,360.0,7.5,1350.0,7.5,1350.0,80,1,False,True,Millets,1,2020-07-06,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2020,Madhya Pradesh,19875.0,6.0,2.0,397.5,2.0,397.5,2.0,397.5,80,1,False,True,Millets,1,2020-07-06,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2020,CHHATTISGARH,14000.0,25.0,1.5,210.0,11.75,1645.0,11.75,1645.0,80,2,False,True,Oilseeds,1,2020-09-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2020,CHHATTISGARH,28000.0,6.0,1.5,420.0,2.25,630.0,2.25,630.0,80,2,False,True,Cereals,1,2020-09-01,2030-11-24 13:45:49,BAJAJ ALLIANZ GENERAL INSURANCE CO. LTD
2022,HARYANA,92626.0,5.0,2.0,1852.52,1.5,1389.39,1.5,1389.39,90,1,True,True,Cereals,1,2022-04-01,2030-11-24 13:45:49,RELIANCE GENERAL INSURANCE CO. LTD.
2021,Haryana,45406.0,11.3944,1.5,681.09,4.9472,2246.32563,4.9472,2246.32563,90,2,True,True,Oilseeds,1,2021-09-02,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2021,Haryana,44108.0,7.7209,1.5,661.62,3.11045,1371.95729,3.11045,1371.95729,90,2,True,True,Cereals,1,2021-09-02,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2022,HARYANA,89903.0,21.0,5.0,4495.15,8.0,7192.24,8.0,7192.24,90,1,True,True,Fiber Crops,2,2022-04-01,2030-11-24 13:45:49,RELIANCE GENERAL INSURANCE CO. LTD.
2021,Haryana,33730.0,20.3733,1.5,505.95,9.43665,3182.98205,9.43665,3182.98205,90,2,True,True,Pulses,1,2021-09-02,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
2021,Haryana,67460.0,5.0,1.5,1011.9,1.75,1180.55,1.75,1180.55,90,2,True,True,Cereals,1,2021-09-02,2030-11-24 13:45:49,AGRICULTURE INSURANCE COMPANY
